uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AC,2020,1,2565.6,26.10775089605735,1574.56,25.656331575190357,991.04,0.451419320866993
AC,2020,2,2562.0,25.66182950191571,1853.6799999999998,25.4015408272148,708.3200000000002,0.260288674700913
AC,2020,3,2312.4,25.91831606769749,1474.3200000000002,25.5791276030888,838.0799999999999,0.33918846460868934
AC,2020,4,1540.8,25.47636528028933,908.8799999999999,25.624544204078205,631.9200000000001,-0.1481789237888762
AC,2020,5,625.1999999999999,25.511601391894384,517.04,25.099536457444216,108.15999999999997,0.4120649344501679
AC,2020,6,266.0,26.106499068159675,174.07999999999998,25.035972639202093,91.92000000000002,1.0705264289575815
AC,2020,7,432.8,26.215607590184593,136.56,24.951824567455347,296.24,1.2637830227292461
AC,2020,8,202.0,27.1131552001354,97.2,25.632777642631243,104.8,1.4803775575041556
AC,2020,9,718.0,27.8449247974248,304.08000000000004,26.984990710027326,413.91999999999996,0.8599340873974732
AC,2020,10,570.0,26.347546948356808,679.6800000000001,26.723860261644955,-109.68000000000006,-0.3763133132881471
AC,2020,11,447.20000000000005,26.87545442501325,689.52,26.231586905364555,-242.31999999999994,0.643867519648694
AC,2020,12,1304.4,25.127159710948774,1220.08,25.66060878063785,84.32000000000016,-0.5334490696890768
AC,2021,1,1219.6,25.313768852477235,1574.56,25.656331575190357,-354.96000000000004,-0.34256272271312227
AC,2021,2,1868.0,25.479803388125465,1853.6799999999998,25.4015408272148,14.320000000000164,0.07826256091066597
AC,2021,3,1062.8,25.40733477765854,1474.3200000000002,25.5791276030888,-411.5200000000002,-0.1717928254302592
AC,2021,4,298.4,26.194575163398696,908.8799999999999,25.624544204078205,-610.4799999999999,0.5700309593204906
AC,2021,5,234.0,26.175250850340138,517.04,25.099536457444216,-283.03999999999996,1.0757143928959216
AC,2021,6,65.6,25.538721175372064,174.07999999999998,25.035972639202093,-108.47999999999999,0.5027485361699711
AC,2021,7,68.4,23.8690193038719,136.56,24.951824567455347,-68.16,-1.0828052635834453
AC,2021,8,25.599999999999998,24.88817204301075,97.2,25.632777642631243,-71.60000000000001,-0.7446055996204919
AC,2021,9,230.8,25.71875,304.08000000000004,26.984990710027326,-73.28000000000003,-1.2662407100273256
AC,2021,10,584.0,25.5622311827957,679.6800000000001,26.723860261644955,-95.68000000000006,-1.1616290788492556
AC,2021,11,566.8,25.30125,689.52,26.231586905364555,-122.72000000000003,-0.9303369053645554
AC,2021,12,716.8,25.425672043010753,1220.08,25.66060878063785,-503.28,-0.23493673762709832
AC,2022,1,604.0,25.5302688172043,1574.56,25.656331575190357,-970.56,-0.12606275798605893
AC,2022,2,1064.8,24.69598214285714,1853.6799999999998,25.4015408272148,-788.8799999999999,-0.7055586843576584
AC,2022,3,618.8,24.765591397849462,1474.3200000000002,25.5791276030888,-855.5200000000002,-0.8135362052393376
AC,2022,4,437.20000000000005,24.55736111111111,908.8799999999999,25.624544204078205,-471.67999999999984,-1.0671830929670953
AC,2022,5,371.20000000000005,23.746505376344086,517.04,25.099536457444216,-145.83999999999992,-1.3530310811001307
AC,2022,6,102.4,23.73533025253302,174.07999999999998,25.035972639202093,-71.67999999999998,-1.3006423866690717
AC,2022,7,4.0,25.578589405201807,136.56,24.951824567455347,-132.56,0.6267648377464603
AC,2022,8,64.4,23.888844086021507,97.2,25.632777642631243,-32.8,-1.7439335566097363
AC,2022,9,50.8,26.321031746031746,304.08000000000004,26.984990710027326,-253.28000000000003,-0.6639589639955794
AC,2022,10,807.6,26.1244623655914,679.6800000000001,26.723860261644955,127.91999999999996,-0.5993978960535564
AC,2022,11,722.8,25.334097222222223,689.52,26.231586905364555,33.27999999999997,-0.8974896831423322
AC,2022,12,1486.8,25.4692876344086,1220.08,25.66060878063785,266.72,-0.19132114622924945
AC,2023,1,975.1999999999999,25.02735215053763,1574.56,25.656331575190357,-599.36,-0.6289794246527265
AC,2023,2,1152.8,24.993303571428573,1853.6799999999998,25.4015408272148,-700.8799999999999,-0.4082372557862257
AC,2023,3,1735.2,25.165658602150536,1474.3200000000002,25.5791276030888,260.8799999999999,-0.4134690009382638
AC,2023,4,670.0,25.345931818181818,908.8799999999999,25.624544204078205,-238.87999999999988,-0.2786123858963876
AC,2023,5,561.6,25.6587889733303,517.04,25.099536457444216,44.56000000000006,0.559252515886083
AC,2023,6,137.6,24.155423811056806,174.07999999999998,25.035972639202093,-36.47999999999999,-0.8805488281452867
AC,2023,7,19.2,25.539247311827957,136.56,24.951824567455347,-117.36,0.5874227443726099
AC,2023,8,86.4,27.23467741935484,97.2,25.632777642631243,-10.799999999999997,1.6018997767235952
AC,2023,9,159.2,27.83402777777778,304.08000000000004,26.984990710027326,-144.88000000000005,0.8490370677504551
AC,2023,10,154.79999999999998,28.477688172043013,679.6800000000001,26.723860261644955,-524.8800000000001,1.7538279103980585
AC,2023,11,203.20000000000002,27.628611111111113,689.52,26.231586905364555,-486.31999999999994,1.3970242057465576
AC,2023,12,1462.8,26.32946868726081,1220.08,25.66060878063785,242.72000000000003,0.6688599066229592
AC,2024,1,2508.4,26.302517159675293,1574.56,25.656331575190357,933.8400000000001,0.646185584484936
AC,2024,2,2620.8,26.17678553174711,1853.6799999999998,25.4015408272148,767.1200000000003,0.7752447045323123
AC,2024,3,1642.4,26.63873717008798,1474.3200000000002,25.5791276030888,168.07999999999993,1.0596095669991783
AC,2024,4,1598.0,26.548487647410063,908.8799999999999,25.624544204078205,689.1200000000001,0.9239434433318578
AC,2024,5,793.2,24.40553569531217,517.04,25.099536457444216,276.1600000000001,-0.6940007621320454
AC,2024,6,298.8,25.643888888888892,174.07999999999998,25.035972639202093,124.72000000000003,0.6079162496867987
AC,2024,7,158.39999999999998,23.556659226190476,136.56,24.951824567455347,21.839999999999975,-1.395165341264871
AC,2024,8,107.60000000000001,25.039039464633728,97.2,25.632777642631243,10.400000000000006,-0.5937381779975155
AC,2024,9,361.6,27.206219228902295,304.08000000000004,26.984990710027326,57.51999999999998,0.22122851887496964
AC,2024,10,1282.0,27.10737263943786,679.6800000000001,26.723860261644955,602.3199999999999,0.38351237779290415
AC,2024,11,1507.6,26.018521768476187,689.52,26.231586905364555,818.0799999999999,-0.2130651368883676
AC,2024,12,1129.6000000000001,25.951455827560313,1220.08,25.66060878063785,-90.47999999999979,0.29084704692246177
AL,2020,1,268.0,28.079606896726464,270.56,27.70155928503968,-2.5600000000000023,0.37804761168678525
AL,2020,2,378.0,28.297815276545705,228.4,28.02761310415002,149.6,0.27020217239568467
AL,2020,3,995.6,28.005688039942786,564.88,27.64209158580821,430.72,0.3635964541345764
AL,2020,4,928.4,27.318115494329792,649.04,27.043101032022726,279.36,0.27501446230706605
AL,2020,5,948.8,25.90077508702267,1047.92,25.539435516497484,-99.12000000000012,0.3613395705251854
AL,2020,6,1012.8,24.81528909737207,1229.44,24.335492420426085,-216.6400000000001,0.47979667694598405
AL,2020,7,619.6,24.047031372433175,959.28,23.79703713669782,-339.67999999999995,0.24999423573535395
AL,2020,8,374.0,24.464865497924073,495.12,24.01273250711331,-121.12,0.45213299081076386
AL,2020,9,110.0,25.258656337681458,282.08000000000004,24.779068764014337,-172.08000000000004,0.47958757366712135
AL,2020,10,0.0,27.498866080156404,91.92,26.55621739294964,-91.92,0.9426486872067628
AL,2020,11,44.4,27.39128141588422,306.0,27.45770044910119,-261.6,-0.06641903321697029
AL,2020,12,116.0,27.80367011442232,223.68,27.570731936798712,-107.68,0.23293817762360902
AL,2021,1,332.0,27.39175386085448,270.56,27.70155928503968,61.44,-0.30980542418519974
AL,2021,2,0.4,28.592484049264783,228.4,28.02761310415002,-228.0,0.5648709451147624
AL,2021,3,201.2,27.729090654119226,564.88,27.64209158580821,-363.68,0.086999068311016
AL,2021,4,210.4,26.913166201679573,649.04,27.043101032022726,-438.64,-0.1299348303431529
AL,2021,5,408.8,25.024022759907226,1047.92,25.539435516497484,-639.1200000000001,-0.5154127565902584
AL,2021,6,122.80000000000001,24.241676338898287,1229.44,24.335492420426085,-1106.64,-0.09381608152779819
AL,2021,7,148.0,23.98749567479558,959.28,23.79703713669782,-811.28,0.19045853809775792
AL,2021,8,274.0,23.80785606105728,495.12,24.01273250711331,-221.12,-0.20487644605602995
AL,2021,9,297.2,25.43169590862161,282.08000000000004,24.779068764014337,15.119999999999948,0.6526271446072727
AL,2021,10,74.4,26.955495989883662,91.92,26.55621739294964,-17.519999999999996,0.3992785969340211
AL,2021,11,176.4,28.02176881735282,306.0,27.45770044910119,-129.6,0.5640683682516325
AL,2021,12,307.2,27.198029463044882,223.68,27.570731936798712,83.51999999999998,-0.37270247375382937
AL,2022,1,62.8,27.093305622422328,270.56,27.70155928503968,-207.76,-0.6082536626173507
AL,2022,2,156.8,28.057195807176626,228.4,28.02761310415002,-71.6,0.029582703026605373
AL,2022,3,793.6,26.68537524615014,564.88,27.64209158580821,228.72000000000003,-0.9567163396580689
AL,2022,4,437.2,26.566164282577326,649.04,27.043101032022726,-211.83999999999997,-0.4769367494454002
AL,2022,5,1464.4,24.995521540048006,1047.92,25.539435516497484,416.48,-0.5439139764494776
AL,2022,6,2732.0,23.58707647118822,1229.44,24.335492420426085,1502.56,-0.7484159492378666
AL,2022,7,2676.8,23.185454849438564,959.28,23.79703713669782,1717.5200000000002,-0.6115822872592567
AL,2022,8,1247.2,23.206533747065528,495.12,24.01273250711331,752.08,-0.8061987600477813
