uf,ano,cultura,chuva_mm_safra,temp_c_safra,anomalia_chuva_safra,anomalia_temp_safra,qtd_t,area_plantada_ha,area_colhida_ha,rendimento_kg_ha,ipca_var_mensal,ipca_acum_ano
BA,2020,Café (em grão) Total,62851.6,24.232998042788985,3163.05,-0.43849479151522974,244259.0,119549.0,119549.0,2043.0,0.25,14.04
BA,2021,Café (em grão) Total,31956.800000000003,25.14307217691454,-2044.9933333333329,0.09485456292870283,210096.0,114387.0,114287.0,1838.0,1.45,10.11
BA,2022,Café (em grão) Total,53552.8,24.74887168339369,-245.3266666666666,-0.2993459305921438,240110.0,116446.0,116446.0,2062.0,0.84,11.87
BA,2023,Café (em grão) Total,63436.0,24.837575823122105,578.2733333333334,-0.21064179086373228,232545.0,122556.0,122556.0,1897.0,1.11,-0.39
BA,2024,Café (em grão) Total,59773.2,25.6455210456252,273.04,0.597303431639365,219150.0,123851.0,123851.0,1769.0,1.46,5.62
ES,2020,Café (em grão) Total,18450.4,23.256794913129838,393.9599999999999,-0.04011591189388497,796174.0,387026.0,387026.0,2057.0,0.9,18.35
ES,2021,Café (em grão) Total,22077.599999999995,23.533511944975675,-480.8533333333333,0.04019637218952058,839704.0,389026.0,389006.0,2159.0,0.34,8.09
ES,2022,Café (em grão) Total,25280.0,23.09638995686493,-213.9866666666666,-0.3969256159212267,950823.0,408681.0,408646.0,2327.0,0.77,12.15
ES,2023,Café (em grão) Total,37379.2,22.92000373931144,794.2800000000001,-0.573311833474718,820614.0,414800.0,414765.0,1979.0,1.16,0.04
ES,2024,Café (em grão) Total,21916.000000000004,24.381844274599715,-494.32,0.8885287018135509,881653.0,423627.0,423477.0,2082.0,1.63,7.09
GO,2020,Café (em grão) Total,43514.0,23.543329254444153,1367.49,-0.04623212073117955,18032.0,7598.0,7488.0,2408.0,1.74,14.09
GO,2021,Café (em grão) Total,44949.2,24.673097616463846,-969.1666666666669,0.3238145341619057,17018.0,6801.0,6801.0,2502.0,0.84,7.94
GO,2022,Café (em grão) Total,68699.2,24.030118296118918,1009.9999999999999,-0.31916478618302185,16957.0,6771.0,6771.0,2504.0,0.66,11.64
GO,2023,Café (em grão) Total,52564.799999999996,23.829142060706516,-334.5333333333332,-0.5201410215954251,14934.0,6196.0,6196.0,2410.0,1.11,1.03
GO,2024,Café (em grão) Total,46915.6,24.944997229011094,-805.3000000000001,0.5957141467091519,16538.0,6304.0,6304.0,2623.0,1.18,7.69
MA,2020,Café (em grão) Total,29961.2,26.673191666469314,926.7299999999998,-0.15965719798925937,,,,,1.74,14.09
MA,2021,Café (em grão) Total,12942.4,27.332530519809655,-1177.5000000000002,-0.024431021182794943,,,,,0.84,7.94
MA,2022,Café (em grão) Total,16954.4,27.66213985597504,-843.1666666666665,0.30517831498258313,,,,,0.66,11.64
MA,2023,Café (em grão) Total,35573.2,26.944632614257603,708.4,-0.4123289267348594,,,,,1.11,1.03
MA,2024,Café (em grão) Total,36374.4,27.55496817879887,775.1666666666665,0.19800663780640745,,,,,1.18,7.69
MG,2020,Café (em grão) Total,115407.2,21.137667335172573,3812.7199999999993,-0.45418083281579724,2064689.0,1054911.0,1054898.0,1957.0,2.23,16.32
MG,2021,Café (em grão) Total,123721.60000000002,22.164420834825375,-2502.1333333333337,-0.1450515937650326,1359828.0,1002787.0,1002289.0,1357.0,1.07,6.72
MG,2022,Café (em grão) Total,158374.0,22.031195250754024,385.5666666666662,-0.2782771778363795,1397270.0,1022699.0,1022699.0,1366.0,1.25,13.55
MG,2023,Café (em grão) Total,168380.4,21.91426611160425,1219.4333333333327,-0.39520631698615877,1735408.0,1070358.0,1070358.0,1621.0,1.89,0.72
MG,2024,Café (em grão) Total,128825.6,23.342529629030878,-2076.8,1.0330572004404681,1687329.0,1100093.0,1100093.0,1534.0,0.81,8.09
MS,2020,Café (em grão) Total,37504.0,23.221425043308933,1286.7799999999997,-0.45044174338890297,181.0,258.0,258.0,702.0,1.74,14.09
MS,2021,Café (em grão) Total,33709.2,24.389573956428993,-971.7199999999999,-0.15962054215934293,228.0,247.0,243.0,938.0,0.84,7.94
MS,2022,Café (em grão) Total,16249.199999999999,25.14257560760386,-2426.7200000000003,0.5933811090155278,64.0,176.0,172.0,372.0,0.66,11.64
MS,2023,Café (em grão) Total,64203.200000000004,23.585827093054622,1569.446666666667,-0.9633674055337099,292.0,168.0,168.0,1738.0,1.11,1.03
MS,2024,Café (em grão) Total,51246.8,25.299208034217703,489.7466666666666,0.7500135356293685,77.0,159.0,155.0,497.0,1.18,7.69
MT,2020,Café (em grão) Total,47415.2,25.44801746552748,1855.8199999999997,0.3116011157025196,8146.0,11814.0,11814.0,690.0,1.74,14.09
MT,2021,Café (em grão) Total,27885.6,25.914774791592446,-1910.5866666666668,0.13263430295635872,6313.0,11672.0,11622.0,543.0,0.84,7.94
MT,2022,Café (em grão) Total,10836.399999999998,25.583872390337035,-3331.353333333333,-0.19826809829905123,9348.0,11825.0,11825.0,791.0,0.66,11.64
MT,2023,Café (em grão) Total,85256.79999999999,25.077027984827325,2870.346666666667,-0.7051125038087633,11547.0,12323.0,12143.0,951.0,1.11,1.03
MT,2024,Café (em grão) Total,64286.799999999996,26.276864419546758,1122.8466666666666,0.4947239309106714,11762.0,9506.0,9499.0,1238.0,1.18,7.69
PA,2020,Café (em grão) Total,81623.2,26.389975361092077,3034.0599999999995,-0.05882656471780168,196.0,203.0,203.0,966.0,2.53,15.77
